#MCNP Materials Date Modified 2/17/2021 4:46:37 PM
60,6000.60c -0.0004 24000.50c -0.1650 28000.50c -0.0425 41093.60c -0.0025 29000.50c -0.0360 26000.55c -0.7536,-7.8000,Needs a Comment
61,95241.60c 0.003714 8016.60c 0.005558 8017.60c 0.000002 3006.60c 0.037152 3007.60c 0.458206 1001.60c 0.495283 1002.60c 0.000074,-0.5354,am2o3-lih source material
62,74000.55c -0.863 28000.50c -0.080 29000.50c -0.057,-18.700,Tungsten Alloy
70,18000.35c -0.69323 6000.60c -0.07295 1001.60c -0.02447 2003.60c -0.20935,-0.00240,He3 detector gas: 4 atm he-3 + ar + ch4
71,NLIB=60c PLIB=04p 6000.60c 10 1001.60c 11,-1.032,Plasic Scintillator
72,53127 -8.466270e-01 11023 -1.533730e-01,-3.67, NaI(Tl)
80,92234 -1.500198e-05 90230 -8.319211e-10 88226 -7.487839e-14 86222 -4.804865e-19 84218 -2.654766e-22 82214 -2.253868e-21 85218 -4.284639e-28 83214 -1.673898e-21 86218 -9.997349e-33 84214 -2.302841e-28 82210 -1.727237e-16 80206 -2.293797e-30 83210 -1.064611e-19 81206 -8.141434e-29 84210 -2.720484e-18 81210 -2.253336e-26 92235 -2.000000e-03 90231 -8.129555e-15 91231 -3.866890e-11 89227 -6.569401e-15 87223 -1.710955e-22 90227 -1.511733e-17 88223 -9.176964e-18 86219 -3.613735e-23 84215 -1.595511e-26 82211 -1.904195e-20 83211 -1.128794e-21 81207 -2.461417e-21 84211 -1.252008e-26 85219 -4.276877e-28 83215 -3.316273e-27 92238 -9.979850e-01 90234 -1.448992e-11 91234 -4.839154e-16 91234 -2.685542e-16,-18.95,Uranium Metal: 0.2% U235
81,92234 -5.400246e-05 90230 -2.994877e-09 88226 -2.695653e-13 86222 -1.729771e-18 84218 -9.557265e-22 82214 -8.114018e-21 85218 -1.542488e-27 83214 -6.026102e-21 86218 -3.599087e-32 84214 -8.290323e-28 82210 -6.218195e-16 80206 -8.257854e-30 83210 -3.832686e-19 81206 -2.930982e-28 84210 -9.793974e-18 81210 -8.112103e-26 92235 -7.200000e-03 90231 -2.926640e-14 91231 -1.392080e-10 89227 -2.364984e-14 87223 -6.159437e-22 90227 -5.442239e-17 88223 -3.303707e-17 86219 -1.300944e-22 84215 -5.743839e-26 82211 -6.855100e-20 83211 -4.063658e-21 81207 -8.861100e-21 84211 -4.507229e-26 85219 -1.539676e-27 83215 -1.193858e-26 92238 -9.927460e-01 90234 -1.441385e-11 91234 -4.813750e-16 91234 -2.671444e-16,-18.95,Uranium Metal: 0.72% U235
82,92234 -2.500018e-04 90230 -1.386495e-08 88226 -1.247976e-12 86222 -8.008129e-18 84218 -4.424621e-21 82214 -3.756457e-20 85218 -7.141083e-27 83214 -2.789837e-20 86218 -1.666229e-31 84214 -3.838078e-27 82210 -2.878778e-15 80206 -3.823060e-29 83210 -1.774382e-18 81206 -1.356929e-27 84210 -4.534224e-17 81210 -3.755570e-25 92235 -3.300200e-02 90231 -1.341458e-13 91231 -6.380755e-10 89227 -1.084017e-13 87223 -2.823246e-21 90227 -2.494511e-16 88223 -1.514291e-16 86219 -5.963024e-22 84215 -2.632752e-25 82211 -3.142111e-19 83211 -1.862623e-20 81207 -4.061584e-20 84211 -2.065939e-25 85219 -7.057274e-27 83215 -5.472182e-26 92238 -9.667480e-01 90234 -1.403638e-11 91234 -4.687688e-16 91234 -2.601484e-16,-18.95,Uranium Metal: 3.30% U235
83,92232 -2.460961e-10 90228 -6.895336e-12 88224 -3.551470e-14 86220 -6.132621e-18 84216 -1.570188e-20 82212 -4.070961e-15 83212 -3.861159e-16 81208 -6.864615e-18 84212 -2.035661e-26 92234 -7.020604e-03 90230 -3.893606e-07 88226 -3.504621e-11 86222 -2.248877e-16 84218 -1.242541e-19 82214 -1.054904e-18 85218 -2.005390e-25 83214 -7.834541e-19 86218 -4.679176e-30 84214 -1.077826e-25 82210 -8.084316e-14 80206 -1.073609e-27 83210 -4.982900e-17 81206 -3.810589e-26 84210 -1.273322e-15 81210 -1.054655e-23 92235 -9.027080e-01 90231 -3.669307e-12 91231 -1.745336e-08 89227 -2.965125e-12 87223 -7.722463e-20 90227 -6.823267e-15 88223 -4.142060e-15 86219 -1.631074e-20 84215 -7.201401e-24 82211 -8.594658e-18 83211 -5.094856e-19 81207 -1.110970e-18 84211 -5.650989e-24 85219 -1.930385e-25 83215 -1.496813e-24 92236 -3.008998e-03 90232 -1.749672e-09 88228 -4.394338e-19 89228 -5.361268e-23 92238 -8.726200e-02 90234 -1.266972e-12 91234 -4.231268e-17 91234 -2.348189e-17,-18.95,Uranium Metal: 90.27% U235
84,92232 -1.226788e-10 90228 -3.437322e-12 88224 -1.770406e-14 86220 -3.057109e-18 84216 -7.827381e-21 82212 -2.029372e-15 83212 -1.924786e-16 81208 -3.422008e-18 84212 -1.014776e-26 92234 -6.999605e-03 90230 -3.881960e-07 88226 -3.494138e-11 86222 -2.242151e-16 84218 -1.238825e-19 82214 -1.051749e-18 85218 -1.999392e-25 83214 -7.811108e-19 86218 -4.665181e-30 84214 -1.074602e-25 82210 -8.060136e-14 80206 -1.070398e-27 83210 -4.967996e-17 81206 -3.799192e-26 84210 -1.269513e-15 81210 -1.051501e-23 92235 -9.350000e-01 90231 -3.800567e-12 91231 -1.807771e-08 89227 -3.071195e-12 87223 -7.998713e-20 90227 -7.067352e-15 88223 -4.290231e-15 86219 -1.689421e-20 84215 -7.459013e-24 82211 -8.902110e-18 83211 -5.277111e-19 81207 -1.150712e-18 84211 -5.853138e-24 85219 -1.999440e-25 83215 -1.550357e-24 92236 -4.999997e-03 90232 -2.907398e-09 88228 -7.301991e-19 89228 -8.908720e-23 92238 -5.300000e-02 90234 -7.695162e-13 91234 -2.569930e-17 91234 -1.426211e-17,-18.95,Uranium Metal: 93.50% U235
90,8016 -1.292309e-01 8017 -5.231542e-05 8018 -2.915424e-04 92234 -1.807152e-04 90230 -1.002235e-08 88226 -9.021065e-13 86222 -5.788720e-18 84218 -3.198361e-21 82214 -2.715375e-20 85218 -5.161971e-27 83214 -2.016649e-20 86218 -1.204443e-31 84214 -2.774376e-27 82210 -2.080941e-15 80206 -2.763520e-29 83210 -1.282622e-18 81206 -9.808635e-28 84210 -3.277589e-17 81210 -2.714735e-25 92235 -1.714241e-01 90231 -6.968007e-13 91231 -3.314390e-09 89227 -5.630768e-13 87223 -1.466494e-20 90227 -1.295737e-15 88223 -7.865764e-16 86219 -3.097406e-21 84215 -1.367545e-24 82211 -1.632124e-18 83211 -9.675123e-20 81207 -2.109731e-19 84211 -1.073122e-24 85219 -3.665798e-26 83215 -2.842445e-25 92238 -6.988204e-01 90234 -1.014629e-11 91234 -3.388527e-16 91234 -1.880500e-16,-8.3,Uranium Oxide (U3O8) NBL-0001 20.11% U235
91,8016 -1.292309e-01 8017 -5.231542e-05 8018 -2.915424e-04 92234 -1.807152e-04 92235 -0.038820965 92238 -0.831604251,-3.18,Simple U3O8 4.46% U235
92,8016 -1.292309e-01 8017 -5.231542e-05 8018 -2.915424e-04 92234 -1.807152e-04 92235 -0.175042511 92238 -0.695382704,-3.18,Simple U3O8 20.11% U235
93,8016 -1.292309e-01 8017 -5.231542e-05 8018 -2.915424e-04 92234 -1.807152e-04 92235 -0.456886195 92238 -0.41353902,-3.18,Simple U3O8 52.49% U235	
94,8016 -1.292309e-01 8017 -5.231542e-05 8018 -2.915424e-04 92234 -1.807152e-04 92235 -0.810975173 92238 -0.059450042,-3.18,Simple U3O8 93.17% U235
95,5010 -1.843112e-07 5011 -8.156983e-07 4009 -1.000009e-06 6012 -2.272628e-04 6013 -2.739044e-06 26054 -5.601980e-07 26056 -9.186560e-06 26057 -2.242904e-07 26058 -2.904637e-08 31069 -1.990603e-04 31071 -1.359425e-04 12024 -7.795073e-07 12025 -1.028020e-07 12026 -1.177002e-07 11023 -5.000037e-05 28058 -3.359915e-06 28060 -1.338803e-06 28061 -5.917358e-08 28062 -1.917162e-07 28064 -5.042968e-08 40090 -5.070660e-05 40091 -1.118099e-05 40092 -1.727827e-05 40094 -1.789127e-05 40096 -2.943817e-06 95241 -2.484520e-03 93237 -7.834022e-05 91233 -2.638818e-12 92233 -2.880131e-10 90229 -1.017511e-14 88225 -5.138690e-20 86221 -1.529002e-26 89225 -3.432314e-20 87221 -1.147365e-23 85217 -1.237610e-27 83213 -1.028642e-22 81209 -1.017914e-25 84213 -1.368113e-31 82209 -4.315811e-22 83209 -5.183722e-18 84217 -2.922464e-30 82213 -1.142274e-27 20040 -2.899881e-06 20042 -2.032098e-08 20043 -4.341149e-09 20044 -6.863513e-08 20046 -1.375940e-10 20048 -6.712314e-09 21048 -1.108762e-30 24050 -2.086859e-07 24052 -4.184999e-06 24053 -4.836830e-07 24054 -1.226691e-07 42092 -1.279580e-06 42094 -8.149233e-07 42095 -1.417496e-06 42096 -1.500796e-06 42097 -8.682404e-07 42098 -2.216409e-06 42100 -9.026308e-07 94238 -1.595754e-04 92234 -3.944915e-05 90230 -1.611372e-09 88226 -1.397988e-13 86222 -8.970229e-19 84218 -4.956196e-22 82214 -4.207758e-21 85218 -7.999015e-28 83214 -3.125008e-21 86218 -1.866410e-32 84214 -4.299185e-28 82210 -3.405262e-16 80206 -4.522239e-30 83210 -2.099274e-19 81206 -1.605380e-28 84210 -5.393571e-18 81210 -4.206764e-26 94239 -9.353440e-01 92235 -1.884720e-09 92235 -7.506767e-04 90231 -3.050882e-15 91231 -1.030549e-11 89227 -1.640805e-15 87223 -4.273360e-23 90227 -3.773533e-18 88223 -2.289911e-18 86219 -9.017284e-24 84215 -3.981248e-27 82211 -4.751497e-21 83211 -2.816656e-22 81207 -6.141920e-22 84211 -3.124109e-27 85219 -1.068212e-28 83215 -8.282874e-28 94240 -5.924307e-02 92236 -1.749255e-04 90232 -7.225420e-11 88228 -1.693779e-20 89228 -2.066449e-24 90228 -4.453282e-21 88224 -2.290181e-23 86220 -3.954644e-27 84216 -1.012543e-29 82212 -2.624691e-24 83212 -2.489379e-25 81208 -4.425775e-27 84212 -1.312439e-35 94241 -6.780270e-04 92237 -2.115941e-11 94242 -2.795872e-04 92238 -1.442423e-08 90234 -2.087255e-19 91234 -6.970741e-24 91234 -3.868338e-24,-19.6,BeRP Ball Full Isotopics
96,94239 -9.4e-01 94240 -6.0e-02,-19.6,BeRP Ball Pu Only
