# 47: 16x16 A 4.5% Enriched
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,1,1,9,1,1,1,1,9,1,1,1,1,1 
1,1,1,9,1,1,1,1,9,1,1,1,9,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,9,1,1,9,1,1,1,1,9,1,1,9,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,9,1,1,1,1,9,1,1,1,1,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,9,1,1,9,1,1,1,1,9,1,1,9,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,9,1,1,1,9,1,1,1,1,9,1,1,1 
1,1,1,1,1,9,1,1,1,1,9,1,1,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
# 48: 16x16 B 4.39% Enriched 
2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2 
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2 
1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1 
1,1,2,0,0,2,1,1,1,1,2,0,0,2,1,1 
1,1,2,0,0,2,1,1,1,1,2,0,0,2,1,1 
1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1 
1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1 
1,1,1,1,1,1,2,0,0,2,1,1,1,1,1,1 
1,1,1,1,1,1,2,0,0,2,1,1,1,1,1,1 
1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1 
1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1 
1,1,2,0,0,2,1,1,1,1,2,0,0,2,1,1 
1,1,2,0,0,2,1,1,1,1,2,0,0,2,1,1 
1,1,1,2,2,1,1,1,1,1,1,2,2,1,1,1 
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2 
2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2 
# 49 16x16: 2.71% Enriched 
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2 
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2 
2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2 
2,1,2,0,0,2,1,1,1,1,2,0,0,2,1,2 
2,1,2,0,0,2,1,1,1,1,2,0,0,2,1,2 
2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2 
2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2 
2,1,1,1,1,1,2,0,0,2,1,1,1,1,1,2 
2,1,1,1,1,1,2,0,0,2,1,1,1,1,1,2 
2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2 
2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2 
2,1,2,0,0,2,1,1,1,1,2,0,0,2,1,2 
2,1,2,0,0,2,1,1,1,1,2,0,0,2,1,2 
2,1,1,2,2,1,1,1,1,1,1,2,2,1,1,2 
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2 
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2 
# 50 16x16 D 4.50% Enriched 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,1,1,9,1,1,1,1,9,1,1,1,1,1 
1,1,1,9,1,1,1,1,9,1,1,1,9,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,9,1,1,9,1,1,1,1,9,1,1,9,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,9,1,1,9,1,1,1,1,9,1,1,9,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,9,1,1,1,9,1,1,1,1,9,1,1,1 
1,1,1,1,1,9,1,1,1,1,9,1,1,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
