# 4% with 8% Gd
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,1,1,-40,1,1,-40,1,1,-40,1,1,1,1,1 
1,1,1,-40,1,1,1,1,1,1,1,1,1,-40,1,1,1 
1,1,1,1,21,1,1,1,1,1,1,1,21,1,1,1,1 
1,1,-40,1,1,-40,1,1,-40,1,1,-40,1,1,-40,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,-40,1,1,-40,1,1,-40,1,1,-40,1,1,-40,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,-40,1,1,-40,1,1,-40,1,1,-40,1,1,-40,1,1 
1,1,1,1,21,1,1,1,1,1,1,1,21,1,1,1,1 
1,1,1,-40,1,1,1,1,1,1,1,1,1,-40,1,1,1 
1,1,1,1,1,-40,1,1,-40,1,1,-40,1,1,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1 
